country,region,happiness_rank,happiness_score,gdp_per_capita,social_support,healthy_life_expectancy,freedom,corruption_perception,generosity
Portugal,Southern Europe,66,5.693,1.221,1.431,0.999,0.508,0.025,0.047
Pakistan,Southern Asia,67,5.653,0.677,0.886,0.535,0.313,0.098,0.22
Russia,Eastern Europe,68,5.648,1.183,1.452,0.726,0.334,0.031,0.082
Philippines,South-Eastern Asia,69,5.631,0.807,1.293,0.657,0.558,0.107,0.117
Serbia,Southern Europe,70,5.603,1.004,1.383,0.854,0.282,0.039,0.137
Moldova,Eastern Europe,71,5.529,0.685,1.328,0.739,0.245,0.0,0.181
Libya,Northern Africa,72,5.525,1.044,1.303,0.673,0.416,0.152,0.133
Montenegro,Southern Europe,73,5.523,1.051,1.361,0.871,0.197,0.08,0.142
Tajikistan,Central Asia,74,5.467,0.493,1.098,0.718,0.389,0.144,0.23
Croatia,Southern Europe,75,5.432,1.155,1.266,0.914,0.296,0.022,0.119
Hong Kong,Eastern Asia,76,5.43,1.438,1.277,1.122,0.44,0.287,0.258
Dominican Republic,Caribbean,77,5.425,1.015,1.401,0.779,0.497,0.101,0.113
Bosnia and Herzegovina,Southern Europe,78,5.386,0.945,1.212,0.845,0.212,0.006,0.263
Turkey,Western Asia,79,5.373,1.183,1.36,0.808,0.195,0.106,0.083
Malaysia,South-Eastern Asia,80,5.339,1.221,1.171,0.828,0.508,0.024,0.26
Belarus,Eastern Europe,81,5.323,1.067,1.465,0.789,0.235,0.142,0.094
Greece,Southern Europe,82,5.287,1.181,1.156,0.999,0.067,0.034,0.0
Mongolia,Eastern Asia,83,5.285,0.948,1.531,0.667,0.317,0.038,0.235
Macedonia,Southern Europe,84,5.274,0.983,1.294,0.838,0.345,0.034,0.185
Nigeria,Western Africa,85,5.265,0.696,1.111,0.245,0.426,0.041,0.215
Kyrgyzstan,Central Asia,86,5.261,0.551,1.438,0.723,0.508,0.023,0.3
Turkmenistan,Central Asia,87,5.247,1.052,1.538,0.657,0.394,0.028,0.244
Algeria,Northern Africa,88,5.211,1.002,1.16,0.785,0.086,0.114,0.073
Morocco,Northern Africa,89,5.208,0.801,0.782,0.782,0.418,0.076,0.036
Azerbaijan,Western Asia,90,5.208,1.043,1.147,0.769,0.351,0.182,0.035
Lebanon,Western Asia,91,5.197,0.987,1.224,0.815,0.216,0.027,0.166
Indonesia,South-Eastern Asia,92,5.192,0.931,1.203,0.66,0.491,0.028,0.498
China,Eastern Asia,93,5.191,1.029,1.125,0.893,0.521,0.1,0.058
Vietnam,South-Eastern Asia,94,5.175,0.741,1.346,0.851,0.543,0.073,0.147
Bhutan,Southern Asia,95,5.082,0.813,1.321,0.604,0.457,0.167,0.37
Cameroon,Middle Africa,96,5.044,0.549,0.91,0.331,0.381,0.037,0.187
Bulgaria,Eastern Europe,97,5.011,1.092,1.513,0.815,0.311,0.004,0.081
Ghana,Western Africa,98,4.996,0.611,0.868,0.486,0.381,0.04,0.245
Ivory Coast,Western Africa,99,4.944,0.569,0.808,0.232,0.352,0.09,0.154
Nepal,Southern Asia,100,4.913,0.446,1.226,0.677,0.439,0.089,0.285
Jordan,Western Asia,101,4.906,0.837,1.225,0.815,0.383,0.13,0.11
Benin,Western Africa,102,4.883,0.393,0.437,0.397,0.349,0.082,0.175
Congo (Brazzaville),Middle Africa,103,4.812,0.673,0.799,0.508,0.372,0.093,0.105
Gabon,Middle Africa,104,4.799,1.057,1.183,0.571,0.295,0.055,0.043
Laos,South-Eastern Asia,105,4.796,0.764,1.03,0.551,0.547,0.164,0.266
South Africa,Southern Africa,106,4.722,0.96,1.351,0.469,0.389,0.055,0.13
Albania,Southern Europe,107,4.719,0.947,0.848,0.874,0.383,0.027,0.178
Venezuela,South America,108,4.707,0.96,1.427,0.805,0.154,0.047,0.064
Cambodia,South-Eastern Asia,109,4.7,0.574,1.122,0.637,0.609,0.062,0.232
Palestinian Territories,Western Asia,110,4.696,0.657,1.247,0.672,0.225,0.066,0.103
Senegal,Western Africa,111,4.681,0.45,1.134,0.571,0.292,0.072,0.153
Somalia,Eastern Africa,112,4.668,0.0,0.698,0.268,0.559,0.27,0.243
Namibia,Southern Africa,113,4.639,0.879,1.313,0.477,0.401,0.056,0.07
Niger,Western Africa,114,4.628,0.138,0.774,0.366,0.318,0.102,0.188
Burkina Faso,Western Africa,115,4.587,0.331,1.056,0.38,0.255,0.113,0.177
Armenia,Western Asia,116,4.559,0.85,1.055,0.815,0.283,0.064,0.095
Iran,Southern Asia,117,4.548,1.1,0.842,0.785,0.305,0.125,0.27
Guinea,Western Africa,118,4.534,0.38,0.829,0.375,0.332,0.086,0.207
Georgia,Western Asia,119,4.519,0.886,0.666,0.752,0.346,0.164,0.043
Gambia,Western Africa,120,4.516,0.308,0.939,0.428,0.382,0.167,0.269
Kenya,Eastern Africa,121,4.509,0.512,0.983,0.581,0.431,0.053,0.372
Mauritania,Western Africa,122,4.49,0.57,1.167,0.489,0.066,0.088,0.106
Mozambique,Eastern Africa,123,4.466,0.204,0.986,0.39,0.494,0.138,0.197
Tunisia,Northern Africa,124,4.461,0.921,1.0,0.815,0.167,0.055,0.059
Bangladesh,Southern Asia,125,4.456,0.562,0.928,0.723,0.527,0.143,0.166
Iraq,Western Asia,126,4.437,1.043,0.98,0.574,0.241,0.089,0.148
Congo (Kinshasa),Middle Africa,127,4.418,0.094,1.125,0.357,0.269,0.053,0.212
Mali,Western Africa,128,4.39,0.385,1.105,0.308,0.327,0.052,0.153
Sierra Leone,Western Africa,129,4.374,0.268,0.841,0.242,0.309,0.045,0.252
Sri Lanka,Southern Asia,130,4.366,0.949,1.265,0.831,0.47,0.047,0.244
Myanmar,South-Eastern Asia,131,4.36,0.71,1.181,0.555,0.525,0.172,0.566
Chad,Middle Africa,132,4.35,0.35,0.766,0.192,0.174,0.078,0.198
Ukraine,Eastern Europe,133,4.332,0.82,1.39,0.739,0.178,0.01,0.187
Ethiopia,Eastern Africa,134,4.286,0.336,1.033,0.532,0.344,0.1,0.209
Swaziland,Southern Africa,135,4.212,0.811,1.149,0.0,0.313,0.135,0.074
Uganda,Eastern Africa,136,4.189,0.332,1.069,0.443,0.356,0.06,0.252
Egypt,Northern Africa,137,4.166,0.913,1.039,0.644,0.241,0.067,0.076
Zambia,Eastern Africa,138,4.107,0.578,1.058,0.426,0.431,0.087,0.247
Togo,Western Africa,139,4.085,0.275,0.572,0.41,0.293,0.085,0.177
India,Southern Asia,140,4.015,0.755,0.765,0.588,0.498,0.085,0.2
Liberia,Western Africa,141,3.975,0.073,0.922,0.443,0.37,0.033,0.233
Comoros,Eastern Africa,142,3.973,0.274,0.757,0.505,0.142,0.078,0.275
Madagascar,Eastern Africa,143,3.933,0.274,0.916,0.555,0.148,0.041,0.169
Lesotho,Southern Africa,144,3.802,0.489,1.169,0.168,0.359,0.093,0.107
Burundi,Eastern Africa,145,3.775,0.046,0.447,0.38,0.22,0.18,0.176
Zimbabwe,Eastern Africa,146,3.663,0.366,1.114,0.433,0.361,0.089,0.151
Haiti,Caribbean,147,3.597,0.323,0.688,0.449,0.026,0.11,0.419
Botswana,Southern Africa,148,3.488,1.041,1.145,0.538,0.455,0.1,0.025
Syria,Western Asia,149,3.462,0.619,0.378,0.44,0.013,0.141,0.331
Malawi,Eastern Africa,150,3.41,0.191,0.56,0.495,0.443,0.089,0.218
Yemen,Western Asia,151,3.38,0.287,1.163,0.463,0.143,0.077,0.108
Rwanda,Eastern Africa,152,3.334,0.359,0.711,0.614,0.555,0.411,0.217
Tanzania,Eastern Africa,153,3.231,0.476,0.885,0.499,0.417,0.147,0.276
Afghanistan,Southern Asia,154,3.203,0.35,0.517,0.361,0.0,0.025,0.158
Central African Republic,Middle Africa,155,3.083,0.026,0.0,0.105,0.225,0.035,0.235
South Sudan,Eastern Africa,156,2.853,0.306,0.575,0.295,0.01,0.091,0.202
